eco	name	name_ko	pgn	uci	epd
A00	Amar Opening	아마르 오프닝	1. Nh3	g1h3	rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -
A00	Amar Opening: Paris Gambit	아마르 오프닝: 파리 갬빗	1. Nh3 d5 2. g3 e5 3. f4	g1h3 d7d5 g2g3 e7e5 f2f4	rnbqkbnr/ppp2ppp/8/3pp3/5P2/6PN/PPPPP2P/RNBQKB1R b KQkq -
A00	Amar Opening: Paris Gambit, Gent Gambit	아마르 오프닝: 파리 갬빗, 헨트 갬빗	1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3	g1h3 d7d5 g2g3 e7e5 f2f4 c8h3 f1h3 e5f4 e1g1 f4g3 h2g3	rn1qkbnr/ppp2ppp/8/3p4/8/6PB/PPPPP3/RNBQ1RK1 b kq -
A00	Amsterdam Attack	암스테르담 어택	1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6	e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6	r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -
A00	Anderssen's Opening	안데르센 오프닝	1. a3	a2a3	rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -
A00	Anderssen's Opening: Polish Gambit	안데르센 오프닝: 폴리시 갬빗	1. a3 a5 2. b4	a2a3 a7a5 b2b4	rnbqkbnr/1ppppppp/8/p7/1P6/P7/2PPPPPP/RNBQKBNR b KQkq -
A00	Barnes Opening	반즈 오프닝	1. f3	f2f3	rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -
A00	Barnes Opening: Fool's Mate	반즈 오프닝: 바보 체크메이트	1. f3 e5 2. g4 Qh4#	f2f3 e7e5 g2g4 d8h4	rnb1kbnr/pppp1ppp/8/4p3/6Pq/5P2/PPPPP2P/RNBQKBNR w KQkq -
A00	Barnes Opening: Gedult Gambit	반즈 오프닝: 게덜트 갬빗	1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3	f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3	rnbqkbnr/ppp1pp1p/6p1/8/3Pp3/2P2P2/PP4PP/RNBQKBNR b KQkq -
A00	Barnes Opening: Gedult Gambit	반즈 오프닝: 게덜트 갬빗	1. f3 f5 2. e4 fxe4 3. Nc3	f2f3 f7f5 e2e4 f5e4 b1c3	rnbqkbnr/ppppp1pp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq -
A00	Barnes Opening: Hammerschlag	반즈 오프닝: 해머슐라그	1. f3 e5 2. Kf2	f2f3 e7e5 e1f2	rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPPKPP/RNBQ1BNR b kq -
A00	Clemenz Opening	클레멘츠 오프닝	1. h3	h2h3	rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq -
A00	Clemenz Opening: Spike Lee Gambit	클레멘츠 오프닝: 스파이크 리 갬빗	1. h3 h5 2. g4	h2h3 h7h5 g2g4	rnbqkbnr/ppppppp1/8/7p/6P1/7P/PPPPPP2/RNBQKBNR b KQkq -
A00	Creepy Crawly Formation: Classical Defense	크리피 크롤리 포메이션: 클래시컬 디펜스	1. h3 d5 2. a3 e5	h2h3 d7d5 a2a3 e7e5	rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq -
A00	Formation: Hippopotamus Attack	포메이션: 히포포타무스 어택	1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3	a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ -
